Time,month,year,Agrabad,Baira,Darus Salam,East Chandana,Farmgate,Khanpur,Khulshi,Red Crescent Office,Sopura,Uttar Bagura Road
22-05-2014,5,2014,0.785666667,0.771014085,0.60595,,0.676466667,0.595935484,0.7594,0.4615,,0.483777778
23-05-2014,5,2014,0.8415,0.565933333,0.634913043,,0.667,0.9145,0.84875,0.735804348,,0.721347826
24-05-2014,5,2014,,,,,,,,,,
25-05-2014,5,2014,0.448,0.423,0.609666667,0.539888889,0.593047619,,0.429714286,0.1754,0.493371429,0.3289
26-05-2014,5,2014,0.7025625,,,,,0.674347826,0.715733333,0.5905,0.853571429,0.61025
27-05-2014,5,2014,,,,0.908204545,,,,,,
28-05-2014,5,2014,,,,,,,,,,
29-05-2014,5,2014,0.625041667,0.52546988,0.48223913,0.365906977,0.603785714,0.527647887,0.573642857,0.380166667,0.58725,0.398888889
30-05-2014,5,2014,1.1116,,,,,,1.191571429,,,1.544
31-05-2014,5,2014,,,,,,,,,,
01-06-2014,6,2014,,,,,,,,,,
02-06-2014,6,2014,,,,,,,,,,
03-06-2014,6,2014,,,,,,,,,,
04-06-2014,6,2014,,,,,,,0.961,,,
05-06-2014,6,2014,0.813,0.917,,,,,,,,
06-06-2014,6,2014,,1.1295,1.134111111,,1.207,,,0.998214286,,1.0557
07-06-2014,6,2014,0.862095238,,0.802,,0.925956522,0.793016949,0.842090909,0.617826087,,0.63935
08-06-2014,6,2014,1.016833333,2.571,0.903032258,,0.763918919,0.834967391,0.999666667,0.743304348,,0.757375
09-06-2014,6,2014,,,,,,,,,,
10-06-2014,6,2014,,,,,,,,,,
11-06-2014,6,2014,1.615857143,,,,,,1.4585,,,
12-06-2014,6,2014,,,,,,,,,,
13-06-2014,6,2014,1.8624,1.657465517,1.020293103,0.889071429,0.924848315,1.2635,2.74,,,
14-06-2014,6,2014,0.7143,,1.191888889,1.02896,1.146684211,0.713029851,0.69172,0.720191176,1.05346875,0.677089744
15-06-2014,6,2014,,,1.251847458,1.487052632,1.203272727,,,,0.92825,
16-06-2014,6,2014,,,,,,,,,,
17-06-2014,6,2014,,,,,,,,0.998375,,0.820615385
18-06-2014,6,2014,,1.039,,,,,,,,
19-06-2014,6,2014,,,,,,,,,,
20-06-2014,6,2014,,,,,,,,,,
21-06-2014,6,2014,,,,,,,,,,
22-06-2014,6,2014,,,,,,,,,,
23-06-2014,6,2014,,,,,,,,,,
24-06-2014,6,2014,,,,,1.5605,1.150857143,,1.366,,1.3329
25-06-2014,6,2014,,,2.451458333,,2.627040541,2.073753086,,2.9547,,2.9045
26-06-2014,6,2014,,,,,,,,,,
27-06-2014,6,2014,,,,,,,,,,
28-06-2014,6,2014,,,,,,,,,,
29-06-2014,6,2014,,,,,,,,,,
30-06-2014,6,2014,,,,,0.544,0.82,,,,
01-07-2014,7,2014,,,,,,0.807,,,,
02-07-2014,7,2014,,,,,,,,,,
03-07-2014,7,2014,,,,,,,,,,
04-07-2014,7,2014,,,,,,,,,,
05-07-2014,7,2014,,,,,,,,,,
06-07-2014,7,2014,0.867125,,0.999,,0.944875,0.884,0.918333333,0.921166667,,0.921
07-07-2014,7,2014,,,,,,,,,,
08-07-2014,7,2014,,0.9583,,,,1.082,,,,
09-07-2014,7,2014,,,0.902636364,,0.869783784,0.844,,0.797194444,,0.760857143
10-07-2014,7,2014,0.5842,,,,,0.673384615,0.539777778,0.636678571,,0.6485
11-07-2014,7,2014,0.6625,1.003333333,0.4455,,,,0.6938,,,
12-07-2014,7,2014,0.68,0.4768,0.275789474,0.3752,0.263529412,0.3954,0.7415,0.438538462,0.66,0.4037
13-07-2014,7,2014,,,,0.55012766,,,,0.810818182,,0.793888889
14-07-2014,7,2014,,,,,,,,,,
15-07-2014,7,2014,,,,,,,,,,
16-07-2014,7,2014,,,,,,,,,,
17-07-2014,7,2014,,,,,,,,,,
18-07-2014,7,2014,,,,,,,0.936333333,0.553,,0.551
19-07-2014,7,2014,,,,,,,,,,
20-07-2014,7,2014,,,,0.344,,,,,0.328,
21-07-2014,7,2014,,,,,,,,,,
22-07-2014,7,2014,,,,,,,,,,
23-07-2014,7,2014,,,,,,,,0.552,,
24-07-2014,7,2014,,,,,,,,,,
25-07-2014,7,2014,0.526333333,0.434666667,0.254875,0.4665,0.185809524,0.344642857,0.327,0.447666667,0.52375,0.364363636
26-07-2014,7,2014,,,0.299693878,,0.235557143,0.4402,0.417,0.471571429,0.8806,0.417545455
27-07-2014,7,2014,,,,,,,,,,
28-07-2014,7,2014,,,,,,,,,,
29-07-2014,7,2014,,,,,,,,,,
30-07-2014,7,2014,,,0.521,0.379166667,0.3955,0.524666667,,,0.501043478,
31-07-2014,7,2014,,,,,,,,0.554,0.516055556,0.3685
01-08-2014,8,2014,,0.8385,0.537,,0.529375,0.8238,,,,0.886
02-08-2014,8,2014,,,0.374,,0.490703704,0.544333333,,,0.536047619,
03-08-2014,8,2014,,,,,,,,,,
04-08-2014,8,2014,,,,,,,,,,
05-08-2014,8,2014,,,,0.718818182,,,,,0.504,
06-08-2014,8,2014,,,,,,,,,,
07-08-2014,8,2014,,,0.691,,0.645846154,0.660970588,,0.668,,
08-08-2014,8,2014,,,0.23834375,0.400192308,0.2447,0.679,,0.3652,0.573190476,0.314333333
09-08-2014,8,2014,0.723,0.676934783,0.716354839,0.785882353,0.717272727,0.744692308,,,,
10-08-2014,8,2014,,,,,,,,,,
11-08-2014,8,2014,,,,,,,,,,0.877
12-08-2014,8,2014,,,,,,,,,,
13-08-2014,8,2014,,,,,,,,,,
14-08-2014,8,2014,,,,,,,,,,
15-08-2014,8,2014,,,,,,,,,,
16-08-2014,8,2014,,,,,,,,,,
17-08-2014,8,2014,,,,,,,,,,
18-08-2014,8,2014,,,,,,,,,,
19-08-2014,8,2014,,,,,,,,,,
20-08-2014,8,2014,0.984,,,,,,,0.838,,
21-08-2014,8,2014,,,,,,,,,,
22-08-2014,8,2014,,,,,,,,,,
23-08-2014,8,2014,,,,,,,,,,
24-08-2014,8,2014,,,,,,,,,,
25-08-2014,8,2014,,,,,,,,,,
26-08-2014,8,2014,,,,,,,,,,
27-08-2014,8,2014,,,,,,,,,,
28-08-2014,8,2014,,,,,,,,,,
29-08-2014,8,2014,,,,,,,,,,
30-08-2014,8,2014,0.077767442,,0.254925926,0.090261364,0.084544444,0.341733333,0.232072637,0.170693182,,0.006093023
31-08-2014,8,2014,,,,,,,,,,
01-09-2014,9,2014,,,,,,,,,,
02-09-2014,9,2014,,,,,,,,,,
03-09-2014,9,2014,0.769,0.508,0.553333333,0.3548125,0.8705,0.498447368,0.497786184,0.24175,0.2778125,
04-09-2014,9,2014,,,0.6205,,0.674,0.579571429,0.579571429,0.61515,,0.892333333
05-09-2014,9,2014,,,0.80275,0.404,,,,,,
06-09-2014,9,2014,,,,0.623,,,,,,
07-09-2014,9,2014,,,0.26,,,0.488333333,0.488333333,0.314263158,,0.733
08-09-2014,9,2014,,0.822,,,,,,,,
09-09-2014,9,2014,0.909,0.50192,,,,,,0.67162963,,0.71025
10-09-2014,9,2014,0.73,,0.822,,0.81775,,,,,
11-09-2014,9,2014,0.802,,0.92175,0.619064516,0.778571429,0.895666667,0.852407407,0.960333333,0.6968,0.733
12-09-2014,9,2014,,0.659766667,0.666142857,,0.697333333,,,,,
13-09-2014,9,2014,,0.754,,0.7555,,,,0.536366667,,
14-09-2014,9,2014,,0.688904762,,,,,,0.464,,0.674
15-09-2014,9,2014,,,0.629666667,,0.69425,0.580428571,0.580428571,0.280285714,,
16-09-2014,9,2014,,,,,,,,,,
17-09-2014,9,2014,0.492142857,0.606,0.719586207,0.558,0.737333333,0.409375,0.420838415,,,0.215131579
18-09-2014,9,2014,0.639666667,0.628925926,,,,,,0.6462,,0.539053191
19-09-2014,9,2014,,,,,,,,,,
20-09-2014,9,2014,,,,,,,,,,
21-09-2014,9,2014,,,,,,,,,,
22-09-2014,9,2014,,,,,,,,,,
23-09-2014,9,2014,,,,,,,,,,
24-09-2014,9,2014,,,,,,,,,,
25-09-2014,9,2014,,,,,,,,0.738,,
26-09-2014,9,2014,,,,1.337565217,,,,,1.156916667,
27-09-2014,9,2014,1.662,1.715205882,,,,,,,,
28-09-2014,9,2014,0.69975,0.973,0.804101852,0.8206,0.824878049,1.189567568,0.965116921,,0.937214286,0.845282609
29-09-2014,9,2014,0.782416667,0.862116279,,,,1.150583333,0.992918627,1.25675,,0.702552632
30-09-2014,9,2014,1.459202703,1.117573171,2.842,3.294111111,,1.611520833,1.556823775,1.148344444,2.913333333,1.431246753
01-10-2014,10,2014,1.150636364,0.778255102,1.291636364,1.519,1.281790698,1.302714286,1.174351648,0.614122807,,0.986272152
02-10-2014,10,2014,1.25225,,1.319058824,0.725673913,1.296,0.893272222,0.942615776,0.457735849,0.820992188,1.000647887
03-10-2014,10,2014,1.08565,0.829646341,,,,1.281911765,1.214683723,0.489041096,0.701580645,1.174633333
04-10-2014,10,2014,0.36372093,,,,,0.394944444,0.464503317,0.482903409,0.631394118,0.839156977
05-10-2014,10,2014,0.747013889,1.062853659,0.961,0.8026,0.978333333,0.996585714,0.943679685,0.494768116,0.733642857,1.030025
06-10-2014,10,2014,0.745,0.712238636,0.856758065,0.802363636,0.804544444,0.822804348,0.75333255,0.296287356,0.574691176,0.697411765
07-10-2014,10,2014,0.375162791,0.417022727,0.271155172,0.14925,0.376644444,0.066727778,0.143983043,0.251073864,0.312911765,0.429447674
